,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,koki5_3,"Be unique the world is full of copies
كن مميزاً فالعالم مليء بالنسخ",,5024,5524,504401,9,"Gazzetta dello Sport: Ibrahimovic is also at risk of missing the Juventus game on January 6
https://t.co/RFiNuTYxBj",[]
1,DANIELKT9,,,1389,580,3305,1,India dismissed Australia for 191 in 72 overs on Friday to take a 53-run first-innings lead that looked highly unlikely in the first half hour of a dramatic second day of the day-night first test at Adelaide Oval. https://t.co/r5FaPt3JPA,[]
2,RmSalih,Editor of British Muslim news site 5Pillars (https://t.co/GFQrlSx37p). Book: Confessions of a Muslim Journalist https://t.co/kXcuhUKPrO,London,1778,6310,19991,4,UFC World Lightweight Champion Khabib Nurmagomedov has been voted BBC Sports Personality’s World Sport Star of the Year. https://t.co/OTXeLW8jxR,[]
3,DailyDogTwit,#Yes #WeLoveDogs #dog #love #pet #puppy #pug #pets,"London, England",954,774,250129,0,LED Light up Trainers Kids Unisex 7 Colors Luminous Flashing USB Charge Breathable Sport Running Toddler Casual Shoes Gymnastic Tennis Low Top Sneakers Best Gift for Boys and Girls Birthday https://t.co/W7zqD3LXJG,[]
4,55kilograms,,,167,84,2525,8,"A huge thank you to @uk_sport, @DCMS and @TNLUK for today's confirmation of our Tokyo 2020 and Paris 2024 funding.

Read more ➡️ https://t.co/1ycdzYjfFY",[]
5,JensSejerA,"Journalist, founder & international director of Play the Game",Denmark,396,1132,1262,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
6,collec_sport,"NY Giants, Eli Manning, Christmas Relic Cards, RJ Barrett,Kerry Collins,  Allan Houston,Celebrity Autos/Relics,95-99 inserts!THE RODNEY HAMPTON SUPER COLLECTOR!",,2664,9375,173816,0,"ICYMI:Ugly Sweaters 
My ugly sweater project on link and still needing more!
https://t.co/CZFtTt6kSa https://t.co/Jgrd6rSNDs",[]
7,WeAreYoungstown,"We Are Youngstown, LLC - Promoting all of the great things happening across Youngstown and the Mahoning Valley! #WeAreYoungstown","Youngstown, OH",179,3981,6058,2,"Column: My time was thanks to the people @TribChronSports 
https://t.co/8SeF13gdYB",[]
8,DavidGJoyce,Banter enthusiast | Proud fella of @kaylourob | High Performance Training For Sports | Sports Injury Prevention and Rehab |,"Sydney, Australia",2174,15279,3882,20,"Let's talk about periods. 

#theAIS Female Performance &amp; Health Initiative aims to educate, provide additional research &amp; break down communication barriers around women's health in elite sport.

@ElissaMacleod @DrRachelHarris @brittneykleyn #FPHI

https://t.co/6UbUb8hOAu",['theAIS']
9,staronline,News updates from Malaysia's top English-language daily and website,"Kuala Lumpur, Malaysia",213,1649998,385787,0,"Moukoko becomes youngest Bundesliga scorer but Dortmund lose to Berlin
https://t.co/nr5z7zQZat  https://t.co/nr5z7zQZat",[]
10,JoukoIkonen,Suomen urheilun eettinen keskus SUEK ry:n tutkintapäällikkö. Finnish Center for Integrity in Sports. Chief Investigative Officer. @SUEK_FINCIS,,385,774,808,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
11,joyce_tyler,"Cinephile, balletomane, book lover, tennis addict, USC School of Cinematic Arts alum, and #ImStillWithHer","Pasadena, CA",1718,2053,79226,0,"I'm sure AOC was a good sport about it and isn't demanding multiple recounts. 😏
https://t.co/72TIRXmVlW",[]
12,danroan,"Sports Editor, @BBCNews. Journalist, proud husband & dad. Honorary Fellow @UniNorthants. Personal account",Various ,8528,306092,45491,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
13,caraleones54,"come to US in 1995.i speak spanish,english and learn slovak.Member of University Of Utah and Crimson Club august 1995.GO UTES",Salt Lake City-UTAH,1592,909,42707,11,"Congratulations to @Utah_Football TE Dalton Kincaid! He's received the 2020 Utah Athletes in Service Award, sponsored by the University's @BennionCenter. The award honors athletes who excel in their sport, in the classroom and in the community:
https://t.co/fTYgJyNW4f

#GoUtes https://t.co/WyyjwGc44Q",[]
14,anewscomtr,"ANews Official Account
Perspectives change, truth remains; discover the truth for justice.
Eyewitness to news?
Share with us on Whatsapp: +90 505 199 10 00",,273,29958,86583,0,"Turkish Super League broadcaster Bein Sports has not paid its mandatory dues for the 2020-2021 football season, the Turkish Football Federation said on Friday. https://t.co/tVsO8HFFfe",[]
15,HelgaAkao,"MD @restoredialogue, Lawyer, Entrepreneur, Advocate for Peace ✌️, Mediator of Ethnic & Religious Conflict, lover of Art, fashion & the outdoors🍃",,206,130,1932,30,"""We should be less afraid to be afraid. It's a very valid emotion and it's something we shouldn't shy away from.""

Emily Harrington tells @cnnsport about her historic El Capitan climb and how she’s learned to manage fear. https://t.co/XGGOUZUhmM https://t.co/F3t3qMTwPo",[]
16,Dispatch_DD,"The Daily Dispatch newspaper's live Twitter feed. 
Call us on 043-702-2000.","East London, South Africa",1498,70870,92609,0,Cricket South Africa (CSA) has included Dwaine Pretorius and uncapped Raynard van Tonder and Lutho Sipamla to the Proteas squad for the two-match Test series against Sri Lanka https://t.co/HSlGuVze9a,[]
17,danaiiiwhite,DB @ The University of San Diego ✞,"Las Vegas, NV",544,1472,886,11,"Congratulations to @Utah_Football TE Dalton Kincaid! He's received the 2020 Utah Athletes in Service Award, sponsored by the University's @BennionCenter. The award honors athletes who excel in their sport, in the classroom and in the community:
https://t.co/fTYgJyNW4f

#GoUtes https://t.co/WyyjwGc44Q",[]
18,stateofpress,Various News From All Over The Globe,,8,68,88179,0,Paris 2024: UK Sport funding decisions signals shift towards greater diversity and winning ‘the right way’ https://t.co/qNmlx7lysX,[]
19,em_witt_17,⚾️🏒🏀 • marathoner • @uofcincy alumna • rocket man,the queen city of the west,1195,3490,41469,4,Why Joey Votto should sport a beard during the 2021 season - A Friday List https://t.co/NZantD5rJf https://t.co/n1F2LY7DqT,[]
20,SLPHSGOPARK,,,31,774,1541,1,"""I just love the sport, it’s really calming to play tennis. It’s a very smooth game; there’s a method to it. I love that it’s so structured,"" Anklam said. https://t.co/DHKL29VnEq https://t.co/eyFgsW51At",[]
21,anewscomtr,"ANews Official Account
Perspectives change, truth remains; discover the truth for justice.
Eyewitness to news?
Share with us on Whatsapp: +90 505 199 10 00",,273,29958,86583,0,Turkish wrestler Muhammet Nuri #Kotanoğlu claimed #silver #medal in the men's 79 kg freestyle in the Individual #World #Cup on Friday. #Kotanoğlu lost to his Russian opponent Akhmed #Usmanov 11-0 in the final. https://t.co/kKYvduBxRV,"['Kotanoğlu', 'silver', 'medal', 'World', 'Cup', 'Kotanoğlu', 'Usmanov']"
22,Coach_KMcDonald,RB Coach at THE U #WarDogs PlayStation: Instant_Klassick XBOX: Instant Klasick,"Salt Lake City, UT",3838,8961,8266,11,"Congratulations to @Utah_Football TE Dalton Kincaid! He's received the 2020 Utah Athletes in Service Award, sponsored by the University's @BennionCenter. The award honors athletes who excel in their sport, in the classroom and in the community:
https://t.co/fTYgJyNW4f

#GoUtes https://t.co/WyyjwGc44Q",[]
23,D4Madhab,"⚫Mathematics is my love
⚫ I’m  spent a lot of time on this bio
 ⚫It’s me. I’m single
⚫I’m here to avoid my friends on Facebook","Bhubaneshwar, India",142,197,641,30,"""We should be less afraid to be afraid. It's a very valid emotion and it's something we shouldn't shy away from.""

Emily Harrington tells @cnnsport about her historic El Capitan climb and how she’s learned to manage fear. https://t.co/XGGOUZUhmM https://t.co/F3t3qMTwPo",[]
24,InakiGomezG,Olympian | Canadian Record 20km Walk | @WorldAthletics Athletes’ Commission | @TeamCanada Athletes’ Commission | Lawyer,Vancouver,1204,2771,5862,10,"WADA’s Athlete Committee is disappointed with the decision of the Court of Arbitration for Sport (CAS) not to impose stricter and longer sanctions on Russia in line with those that were recommended by WADA. 

Find out more ➡️ https://t.co/WIojYTdsrh https://t.co/3r9r7eb4RY",[]
25,gbboxing,"The GB Boxing squads consist of male and female athletes from England, Wales and Scotland, whose ultimate goal is securing success in the Olympic Games.",Sheffield,281,28213,6572,3,"The support provided by @DCMS and @TNLUK also allows UK Sport to look to the athletes of the future who are targeting success at the Paris 2024 Olympic and Paralympic Games and beyond 💫

Read more ➡️ https://t.co/l5CbZrjLk5 https://t.co/zjxQaEiREM",[]
